,Description,NDB_NO_tags
621,1.5 cups heavy cream,"""01053"""
622,.5 cup all purpose flour,"""20581"""
623,0.5 cup parsley,"""11297"""
624,2.0 teaspoons yeast,"""18375"""
625,4.5 cups all purpose flour,"""20581"""
626,2.0 teaspoons kosher salt,"""02047"""
627,8.0 whole chicken thighs,"""05674"""
628,1 teaspoon salt,"""02047"""
629,1 teaspoon black pepper,"""02030"""
630,1 teaspoon black pepper,"""02030"""
631,1.0 whole head garlic separated into whole cloves papery skin,"""11215"""
632,3.0 tablespoons olive oil,"""44005"""
633,1.0 tablespoon butter,"""01001"""
634,1.0 teaspoon flour,"""20581"""
635,0.25 cup chicken stock,"""06172"""
636,0.5 whole lemon juiced,"""09152"""
637,0.5 whole onion,"""11282"""
638,3.0 whole garlic cloves,"""11215"""
639,2.0 whole serrano peppers,"""11977"""
640,8.0 whole piquillo peppers,"""11821"""
641,0.5 cup fresh cilantro leaves,"""11165"""
642,1.0 tablespoon smoked spicy pimenton,"""02028"""
643,1.0 teaspoon cayenne pepper,"""02031"""
644,1.0 pinch red pepper flakes,"""02031"""
645,1.0 tablespoon lime juice,"""09160"""
646,3.0 tablespoons spanish extra-virgin olive oil,"""44005"""
647,1 teaspoon salt,"""02047"""
648,1 teaspoon black pepper,"""02030"""
649,1 teaspoon black pepper,"""02030"""
650,20.0 whole sea scallops,"""15172"""
651,1 tablespoon salt,"""02047"""
652,1 tablespoon black pepper,"""02030"""
653,1 teaspoon cayenne pepper,"""02031"""
654,4.0 tablespoons cup extra-virgin olive oil,"""44005"""
655,1.0 tablespoon butter,"""01001"""
656,1 sprig fresh thyme,"""02049"""
657,1.0 cup walnuts,"""12155"""
658,3.0 cups granulated sugar,"""19335"""
659,0.5 cup water,"""14411"""
660,0.333333333333 cup light corn syrup,"""19350"""
661,2.0 whole egg whites,"""01124"""
662,8.0 ounces chocolate mini morsels,"""19080"""
663,8.0 ounces unsalted butter,"""01145"""
664,1.0 cup light brown sugar,"""19334"""
665,0.5 cup granulated sugar,"""19335"""
666,1.0 teaspoon pure vanilla extract,"""02050"""
667,2.0 whole eggs,"""01123"""
668,2.25 cups all-purpose flour,"""20581"""
669,1.0 teaspoon baking soda,"""18372"""
670,1.0 teaspoon salt,"""02047"""
671,1.0 cup chocolate chips,"""19120"""
672,2.0 cups half-and-half,"""01049"""
673,2.0 cups heavy cream,"""01053"""
674,0.5 whole vanilla bean,"""02050"""
675,9.0 whole egg yolks,"""01125"""
676,0.75 cup sugar,"""19335"""
677,3.0 tablespoons olive oil,"""44005"""
678,1.0 whole onion,"""11282"""
679,2.0 whole garlic cloves,"""11215"""
680,56 ounce whole tomatoes in puree,"""11547"""
681,0.5 teaspoon salt,"""02047"""
682,0.75 teaspoon black pepper,"""02030"""
683,6.0 pounds chicken breast,"""05057"""
684,4.0 whole loaves italian bread,"""18033"""
685,12 ounce artichokes,"""11007"""
686,1.0 pound fresh mozzarella,"""01026"""
687,0.5 cup parmigiano-reggiano ,"""01033"""
688,1.0 ounce simple syrup,"""14637"""
689,2.0 cups ice,"""14411"""
690,2.0 ounces bourbon ,"""14037"""
691,1 sprig mint,"""02064"""
692,1.0 pound white bread dough,"""18014"""
693,3.0 tablespoons olive oil,"""44005"""
694,3.0 cups onions,"""11282"""
695,2.0 tablespoons garlic,"""11215"""
696,2.5 tablespoons dijon mustard,"""02046"""
697,2.0 tablespoons yellow mustard seeds,"""02024"""
698,1.5 teaspoons dried thyme,"""02042"""
699,1.0 cup salsa,"""06164"""
700,1.0 pinch allspice,"""02001"""
701,2.0 cans black beans ,"""16014"""
702,3.0 cups low-sodium chicken broth,"""06970"""
703,2.0 whole japanese eggplants,"""11209"""
704,0.75 teaspoon ground turmeric,"""02043"""
705,6.0 tablespoons olive oil,"""44005"""
706,2 tablespoon kosher salt,"""02047"""
707,2 tablespoon ground black pepper,"""02030"""
708,2.0 whole kale,"""11233"""
709,0.5 cup fresh mint leaves,"""02064"""
710,0.75 cup plain greek yogurt,"""01287"""
711,0.25 teaspoon garam masala,"""02015"""
712,1.75 cups all-purpose flour,"""20581"""
713,2.0 whole eggs beaten lightly,"""01123"""
714,1.0 tablespoon olive oil,"""44005"""
715,2.0 cups unsalted cashews,"""12087"""
716,1.25 pound semisweet chocolate into 1/4-inch pieces,"""19080"""
717,8.0 ounces shredded dried coconut,"""12179"""
718,2 tablespoons kosher salt,"""02047"""
719,12.0 ounces multigrain spaghetti,"""20120"""
720,3.0 tablespoons red wine vinegar,"""02068"""
721,2.0 tablespoons low-fat plain yogurt,"""01117"""
722,2.0 teaspoons dijon mustard,"""02046"""
723,2.0 whole scallions,"""11291"""
724,1.0 tablespoon fresh dill ,"""02045"""
725,1 tablespoon ground pepper,"""02030"""
726,3.0 tablespoons extra virgin olive oil,"""04708"""
727,1.0 whole green bell pepper,"""11333"""
728,2.0 ounces deli sliced ham,"""42128"""
729,2 ounces cheddar cheese,"""01270"""
730,0.5 whole romaine lettuce,"""11251"""
731,0.5 whole lemon,"""09150"""
732,4.0 whole artichokes,"""11007"""
733,2 pounds fava beans,"""16052"""
734,1.0 whole head of romaine lettuce,"""11251"""
735,2.0 whole onions,"""11282"""
736,0.5 cup extra virgin olive oil,"""04708"""
737,1 tablespoon salt,"""02047"""
738,2 pounds peas,"""11304"""
739,4.0 slices country bread toasted,"""18029"""
740,1.0 teaspoon olive oil,"""44005"""
741,1.0 cup grape tomatoes,"""11529"""
742,0.5 tsp kosher salt,"""02047"""
743,0.5 tsp black pepper,"""02030"""
744,1.0 pound mushrooms,"""11260"""
745,1.0 tablespoon thyme leaves,"""02049"""
746,8.0 whole eggs,"""01123"""
747,1.0 ounce parmesan,"""01033"""
748,2.0 tablespoon chives,"""11156"""
749,4.0 pounds potatoes,"""11352"""
750,1.0 whole bay leaf,"""02004"""
751,1 teaspoon salt,"""02047"""
752,1 teaspoon black pepper,"""02030"""
753,2.0 cups heavy cream,"""01053"""
754,3.0 tablespoons unsalted butter,"""01145"""
755,2.0 tablespoons chives,"""11156"""
756,16.0 ounces semisweet chocolate,"""19080"""
757,8.0 ounces unsalted butter,"""01145"""
758,11.0 whole eggs,"""01123"""
759,0.75 cup granulated sugar,"""19335"""
760,2.0 tablespoons brandy,"""14037"""
761,0.5 cup imported polenta,"""20020"""
762,8.0 oz semisweet chocolate,"""19080"""
763,0.75 cup chestnut puree found in the baking aisle,"""12093"""
764,0.25 tsp almond extract,"""04529"""
765,1 pinch of salt,"""02047"""
766,1.125 cup confectioners sugar,"""19335"""
767,2.0 cup heavy cream,"""01053"""
768,2.0 cups carrots,"""11124"""
769,3.0 tablespoons ginger dressing,"""04135"""
770,0.5 cup white wine,"""14106"""
771,0.25 cup lemon juice ,"""09152"""
772,2.0 tablespoons olive oil,"""44005"""
773,1.0 teaspoon garlic,"""11215"""
774,0.5 teaspoon rosemary,"""02063"""
775,0.5 teaspoon thyme,"""02049"""
776,0.25 teaspoon salt,"""02047"""
777,0.25 teaspoon pepper,"""02030"""
778,4.0 whole salmon fillets,"""15238"""
779,1.0 cup walnuts,"""12155"""
780,1.0 cup croutons,"""18242"""
781,1.0 tablespoon oregano,"""02027"""
782,1.0 tablespoon chives,"""11156"""
783,2.0 tablespoons olive oil,"""44005"""
784,2.0 tablespoons lemon juice,"""09152"""
785,0.75 cup flour,"""20581"""
786,0.5 teaspoon salt,"""02047"""
787,1.0 teaspoon baking powder,"""18371"""
788,2.0 whole eggs,"""01123"""
789,0.666666666667 cup milk,"""01077"""
790,0.333333333333 cup water,"""14411"""
791,1.0 cup dulce de leche *,"""01225"""
792,2.0 tablespoons melted butter,"""01145"""
793,2.0 whole envelopes unflavored gelatin,"""19172"""
794,4.0 cups eggnog,"""01057"""
795,0.25 cup sugar,"""19335"""
796,0.25 whole tespoon nutmeg,"""02025"""
797,2.0 tablespoons rum,"""14037"""
798,1.0 cup heavy cream,"""01053"""
799,1.0 pound duck,"""05139"""
800,0.5 cup white wine vinegar,"""02053"""
801,0.5 cup apricot jam,"""19719"""
802,1.0 tablespoon soy sauce,"""16124"""
803,2.0 tablespoon szechuan peppercorns,"""02031"""
804,3.0 whole plum tomatoes,"""11529"""
805,2.0 whole scallions,"""11291"""
806,1.0 whole jalape o,"""11979"""
807,1.0 cup fresh corn kernels ,"""11167"""
808,4.0 tablespoons fresh lime juice ,"""09160"""
809,1 teaspoon kosher salt ,"""02047"""
810,3.0 whole avocados,"""09038"""
811,6.0 slices crusty white bread toasted,"""18967"""
812,8.0 whole anaheim chiles charred stemmed,"""11670"""
813,2.0 cans albacore tuna in water,"""15121"""
814,1.0 cup fresh peas,"""11304"""
815,0.5 cup fresh corn kernels,"""11167"""
816,3.0 tablespoons mayonnaise,"""42138"""
817,1 teaspoon salt,"""02047"""
818,1 teaspoon black pepper,"""02030"""
819,1 teaspoon black pepper,"""02030"""
820,0.75 cup carrots,"""11124"""
821,0.666666666667 cup olive oil,"""44005"""
822,2.0 whole cloves garlic,"""11215"""
823,2.0 whole red onions halved,"""11282"""
824,0.666666666667 cup white distilled vinegar,"""02053"""
825,2.0 teaspoons crumbled dried mexican oregano,"""02027"""
826,2.0 whole bay leaves,"""02004"""
827,3.0 cups bread,"""18033"""
828,2 tablespoon extra virgin olive oil,"""04708"""
829,6.0 ounces bittersweet chocolate,"""19904"""
830,2.0 ounces unsweetened chocolate,"""19904"""
831,2.0 teaspoons instant espresso powder,"""14214"""
832,0.25 tablespoons all-purpose flour,"""20581"""
833,0.25 teaspoon baking powder,"""18371"""
834,0.25 teaspoon salt,"""02047"""
835,0.75 stick unsalted butter,"""01145"""
836,0.5 cup granulated sugar,"""19335"""
837,0.25 cup light brown sugar,"""19334"""
838,2.0 whole eggs,"""01123"""
839,2.0 teaspoons vanilla extract,"""02050"""
840,1.0 cup toasted pecans coarsely,"""12142"""
841,0.5 cup semisweet chocolate chips,"""19904"""
842,0.5 cup white chocolate chips,"""19087"""
843,2.0 tablespoons extra virgin olive oil,"""04708"""
844,1.0 whole onion,"""11282"""
845,0.5 whole head fennel,"""11957"""
846,4.0 whole cloves garlic,"""11215"""
847,0.25 teaspoon red pepper flakes,"""02031"""
848,1 pinch saffron,"""02037"""
849,0.75 cups dry white vermouth,"""14037"""
850,12 oz plum tomatoes with their juice,"""11885"""
851,0.75 cup water,"""14411"""
852,1.0 whole bay leaf,"""02004"""
853,12.0 whole littleneck clams,"""15157"""
854,8.0 ounces sea scallops,"""15172"""
855,8.0 ounces shrimp ,"""15270"""
856,1.0 teaspoon red wine vinegar,"""02068"""
857,0.25 cup fresh parsley leaves,"""11297"""
858,1 tablespoon kosher salt,"""02047"""
859,5.0 ounces cream cheese,"""01017"""
860,1.5 tablespoons fresh chives,"""11156"""
861,2.0 teaspoons cream-style horseradish,"""27066"""
862,0.25 teaspoon ground black pepper,"""02030"""
863,0.25 teaspoon kosher salt,"""02047"""
864,2.0 teaspoons capers,"""02054"""
865,4.0 slices pumpernickel bread,"""18044"""
866,0.5 whole bunch watercress stems,"""11591"""
867,8.0 ounces smoked salmon,"""15077"""
868,6 whole chives,"""11156"""
869,4.0 whole shallots,"""11677"""
870,4.0 tablespoons olive oil,"""44005"""
871,1.0 cup red wine,"""14096"""
872,1.0 cup beef broth,"""06008"""
873,1 teaspoon salt,"""02047"""
874,1 teaspoon black pepper,"""02030"""
875,1.5 pound flank steak,"""13970"""
876,1.0 tablespoon butter,"""01001"""
877,0.25 cup nonfat plain greek yogurt,"""01287"""
878,1.0 tablespoon dijon mustard,"""02046"""
879,2.0 tablespoons fresh dill,"""02045"""
880,2.0 tablespoons extra-virgin olive oil,"""44005"""
881,3.0 cups frozen cubed hash browns,"""11390"""
882,1 teaspoon salt,"""02047"""
883,1 teaspoon black pepper,"""02030"""
884,1 teaspoon black pepper,"""02030"""
885,1.0 whole red onion,"""11282"""
886,2.0 whole bell peppers,"""11333"""
887,0.75 pound skinless salmon fillet cut into 1/2-inch pieces,"""15238"""
888,8.0 cups baby arugula,"""11959"""
889,0.5 pound dried chickpeas,"""16056"""
890,2.0 whole bay leaves,"""02004"""
891,4.0 whole cardamom pods cracked,"""02006"""
892,6.0 whole whole cloves,"""02011"""
893,12.0 whole black peppercorns,"""02030"""
894,2.0 whole red onions quartered,"""11282"""
895,1.0 whole inch piece ginger,"""11216"""
896,4.0 whole cloves garlic,"""11215"""
897,0.25 cup vegetable oil,"""04513"""
898,1 teaspoon kosher salt ,"""02047"""
899,1.0 whole serrano chile pepper,"""11977"""
900,1.0 teaspoon ground cumin,"""02014"""
901,0.5 teaspoon ground coriander,"""02013"""
902,0.125 teaspoon turmeric,"""02043"""
903,2.0 whole plum tomatoes,"""11529"""
904,6.0 cups cauliflower florets,"""11135"""
905,1.0 whole lemon juice,"""09152"""
906,0.5 cup fresh cilantro,"""11165"""
907,5.0 whole carrots cut into chunks,"""11124"""
908,1.0 ribs from 1 bunch of celery leaves,"""11143"""
909,1.0 whole onion ends halved root to stem,"""11294"""
910,6.0 pounds beef top round,"""23327"""
911,2.0 whole garlic cloves halved,"""11215"""
912,0.666666666667 cup olive oil,"""44005"""
913,4.0 ounces unsalted butter,"""01145"""
914,0.5 cup all-purpose flour,"""20581"""
915,1.0 whole pomegranate,"""09286"""
916,2.0 whole oranges,"""09202"""
917,1.5 cups fresh seedless grapes,"""09131"""
918,1.0 whole lime juice,"""09160"""
919,1.0 tablespoon fresh mint leaves,"""02064"""
920,2.0 tablespoons lemon pepper,"""02030"""
921,6.0 whole swordfish steaks,"""15110"""
922,2 teaspoons salt,"""02047"""
923,2.0 tablespoons olive oil,"""44005"""
924,0.5 cup butter ,"""01001"""
925,10.0 whole dried bay leaves,"""02004"""
926,2.0 tablespoons black peppercorns,"""02030"""
927,2.0 tablespoons ground turmeric,"""02043"""
928,0.25 cup unsweetened shredded coconut,"""12179"""
929,0.5 whole cauliflower,"""11135"""
930,0.25 whole kabocha squash,"""11643"""
931,3.0 tablespoons vegetable oil,"""04513"""
932,1 teaspoon salt,"""02047"""
933,1 teaspoon black pepper,"""02030"""
934,1 teaspoon black pepper,"""02030"""
935,1.0 whole white onion,"""11282"""
936,2.0 whole shallots,"""11677"""
937,6.0 whole garlic cloves,"""11215"""
938,1.0 whole piece ginger,"""11216"""
939,1.0 teaspoon red pepper flakes,"""02031"""
940,2.0 cans unsweetened coconut milk,"""12117"""
941,1.0 cup sugarcane vinegar,"""02053"""
942,4.0 whole chicken legs,"""05075"""
943,3.0 tablespoons honey,"""19296"""
944,0.5 cup roasted pumpkin seeds,"""12516"""
945,0.5 cup roasted pumpkin seeds,"""12516"""
946,0.333333333333 lb spinach,"""11457"""
947,0.5 pt. fresh strawberries,"""09316"""
948,1.0 whole kiwi,"""09148"""
949,1.0 tbsp. almonds,"""12061"""
950,1.0 tsp. lemon pepper,"""02030"""
951,1.0 tbsp. granulated white sugar,"""19335"""
952,2.0 tbsp. vegetable oil,"""04513"""
953,2.0 tbsp. rice vinegar,"""02068"""
954,1.0 whole lemon,"""09150"""
955,0.25 cup granulated sugar,"""19335"""
956,2.0 cups gin,"""14037"""
957,0.75 cup elderflower liqueur,"""14037"""
958,1.5 cups ice,"""14411"""
959,4.0 cups heavy whipping cream,"""01053"""
960,1.0 whole vanilla bean,"""02050"""
961,6.0 whole egg yolks,"""01125"""
962,1.0 cup sugar,"""19335"""
963,1.0 cup extra-virgin olive oil,"""44005"""
964,2.0 cups balsamic vinegar,"""02069"""
965,1 cup strawberries,"""09316"""
966,0.5 tablespoon non stick cooking spray,"""04679"""
967,0.333333333333 cup salted peanuts,"""16087"""
968,4.0 tablespoon butter,"""01001"""
969,0.5 cup creamy peanut butter,"""16399"""
970,12 oz cream cheese,"""01017"""
971,0.333333333333 cup sugar,"""19335"""
972,3.0 tablespoon milk,"""01077"""
973,2.0 cups frozen whipped topping,"""01054"""
974,2.0 tablespoon hot fudge sauce,"""19348"""
975,0.5 cup semolina flour,"""20581"""
976,0.75 teaspoon baking powder,"""18371"""
977,0.5 teaspoon kosher salt,"""02047"""
978,0.75 cup unsalted butter room temperature,"""01145"""
979,1.0 tablespoons sugar,"""19335"""
980,3.0 whole eggs beaten to blend,"""01123"""
981,2.0 tablespoons fresh lemon juice,"""09152"""
982,6.0 tablespoons fresh lemon juice,"""09152"""
983,0.333333333333 cup sugar,"""19335"""
984,2.0 tablespoons seasoned rice wine vinegar,"""02068"""
985,0.25 cup soy sauce,"""16124"""
986,1.0 tablespoon sesame oil,"""04058"""
987,1.0 whole pork tenderloin,"""10218"""
988,1 teaspoon salt,"""02047"""
989,1 teaspoon black pepper,"""02030"""
990,1 teaspoon black pepper,"""02030"""
991,4.0 tablespoons olive oil,"""44005"""
992,3.0 whole spanish onion,"""11294"""
993,1.0 whole fennel bulb,"""11957"""
994,2.0 whole cloves garlic,"""11215"""
995,2.0 tablespoons thyme,"""02049"""
996,0.25 cup sake,"""43479"""
997,1.0 tablespoon chervil leaves,"""02008"""
998,1.0 tablespoon chives,"""11156"""
999,1.0 cup goat cheese,"""01159"""
1000,1 teaspoon salt,"""02047"""
1001,1 teaspoon black pepper,"""02030"""
1002,1 teaspoon black pepper,"""02030"""
1003,1.0 whole loaf french bread,"""18029"""
1004,1.0 whole clove garlic,"""11215"""
1005,0.5 cup extra virgin olive oil,"""04708"""
1006,8 whole red onion,"""11282"""
1007,8.0 whole shiitake mushrooms,"""11238"""
1008,8.0 whole red radishes,"""11429"""
1009,4.0 whole baby bok choy,"""11116"""
1010,1.0 whole orange bell pepper,"""11951"""
1011,1.25 cups mango-sesame dressing,"""04016"""
1012,6.0 whole boneless chicken breast,"""05062"""
1013,.5 tablespoon vegetable oil spray,"""04679"""
1014,0.5 tablespoon cooking spray,"""04679"""
1015,1.0 whole container nutella,"""19125"""
1016,12.0 slices brioche,"""28318"""
1017,8.0 whole eggs,"""01123"""
1018,2.0 cups cream,"""01049"""
1019,2.0 cups whole milk,"""01077"""
1020,2.0 cups sugar,"""19335"""
1021,0.25 cup hazelnut liqueur,"""14037"""
1022,1.0 tablespoon vanilla extract,"""02050"""
1023,0.5 teaspoon almond extract,"""04529"""
1024,3.0 whole ripe bananas,"""09040"""
1025,5.0 whole sweet potatoes,"""11507"""
1026,4.0 whole bananas,"""09040"""
1027,1.0 cup unsalted butter,"""01145"""
1028,0.25 cup honey,"""19296"""
1029,3 tablespoon kosher salt,"""02047"""
1030,0.75 cup dark brown sugar,"""19334"""
1031,0.5 cup all-purpose flour,"""20581"""
1032,1.5 cups pecans,"""12142"""
1033,1.0 whole rabbit,"""17180"""
1034,1 teaspoon salt,"""02047"""
1035,1 teaspoon black pepper,"""02030"""
1036,0.5 cup extra-virgin olive oil,"""44005"""
1037,4.0 whole garlic cloves,"""11215"""
1038,1.0 whole bunch thyme,"""02049"""
1039,1.0 whole bunch rosemary,"""02063"""
1040,2.0 whole tomatoes,"""11529"""
1041,1.5 whole eggplant,"""11209"""
1042,2.5 whole zucchini,"""11477"""
1043,2.0 slices country ham,"""10141"""
1044,0.5 cup water,"""14411"""
1045,4.0 cups water,"""14411"""
1046,1.0 cup grits,"""08090"""
1047,1 teaspoon salt,"""02047"""
1048,1 teaspoon black pepper,"""02030"""
1049,3.0 cups unbleached all-purpose flour,"""20581"""
1050,4.0 teaspoons baking powder,"""18371"""
1051,0.5 teaspoon baking soda,"""18372"""
1052,1.0 teaspoon salt,"""02047"""
1053,10.0 tablespoons unsalted butter,"""01145"""
1054,1.0 tablespoons buttermilk,"""01230"""
1055,0.5 stick butter,"""01001"""
1056,1 pinch salt,"""02047"""
1057,0.5 cup all-purpose flour,"""20581"""
1058,2.0 whole eggs,"""01123"""
1059,1 pinch ground cinnamon,"""02010"""
1060,4.0 ounces semisweet chocolate,"""19080"""
1061,0.25 cup heavy cream,"""01053"""
1062,2.0 tablespoons butter,"""01001"""
1063,1.0 tablespoon corn syrup,"""19351"""
1064,1.0 pinch ground cinnamon,"""02010"""
1065,1 cup vanilla ice cream,"""19095"""
1066,0.333333333333 cup white long-grain rice,"""20045"""
1067,2.0 whole cans black beans,"""16316"""
1068,1.0 whole shallot,"""11677"""
1069,6.0 slices pickled jalapeño,"""31034"""
1070,1.0 tablespoon barbecue sauce,"""06150"""
1071,1.0 teaspoon chili powder,"""02009"""
1072,0.5 teaspoon ground cumin,"""02014"""
1073,1.0 whole egg white,"""01123"""
1074,1 teaspoon salt,"""02047"""
1075,1 teaspoon black pepper,"""02030"""
1076,4.0 tablespoons vegetable oil,"""04513"""
1077,6.0 whole hamburger buns,"""28288"""
1078,6.5 ounce artichokes hearts,"""11007"""
1079,1.0 tablespoon yellow cornmeal,"""20020"""
1080,1.0 whole ounce tube refrigerated pizza crust dough,"""18014"""
1081,6.0 ounces plum tomatoes into rounds,"""11529"""
1082,1.0 cup crumbled herb-seasoned feta cheese ,"""01019"""
1083,0.5 whole medium size sweet onion,"""11294"""
1084,2.0 tablespoons fresh mint,"""02064"""
1085,32.0 ounces low-fat yogurt,"""01117"""
1086,2.0 cups water,"""14411"""
1087,0.333333333333 cup sugar,"""19335"""
1088,0.333333333333 cup honey,"""19296"""
1089,1.5 teaspoons vanilla extract,"""02050"""
1090,2.0 cups pancake ,"""18293"""
